highstreet_id,convenience,hairdresser,clothes,bakery,beauty,supermarket,dry_cleaning,bookmaker,newsagent,charity,count_lq_cluster,count
312,1.485,1.685,0,0,1.357,0.439,1.218,2.037,0.827,1.746,6,Six
335,0.744,1.362,0.365,1.315,1.371,1.614,1.119,1.247,0.608,0.962,6,Six
337,1.109,1.383,0.233,3.149,0.796,1.031,1.429,0,0.97,1.024,6,Six
345,1.056,2.372,0,0,2.122,0.687,2.858,1.062,1.294,0,6,Six
348,1.187,1.346,0.689,1.192,1.175,0.585,0.974,1.085,0.661,1.628,6,Six
359,0.348,1.013,1.709,1.538,1.166,0,1.047,1.166,0.711,0,6,Six
361,0.484,0.907,2.141,3.211,1.826,0,1.093,1.218,1.484,0,6,Six
377,0.422,1.581,0.933,1.4,2.653,1.374,0.953,3.185,0,4.096,6,Six
394,1.029,0.963,0.758,1.706,1.293,0.838,1.161,1.294,0,4.992,6,Six
402,0.172,1.071,0,1.137,2.155,0.558,0.774,3.451,2.102,4.438,6,Six
422,2.657,1.326,0,0,1.335,0,2.397,2.672,3.255,0,6,Six
427,0.338,1.267,0.332,4.487,2.268,0,2.036,1.134,0,1.459,6,Six
452,1.341,1.912,0,1.269,0.962,1.247,0,1.926,0,2.477,6,Six
471,0.445,1.389,0,0,1.678,2.173,1.004,0,2.727,1.439,6,Six
477,1.453,1.209,0,0,1.217,1.576,4.372,0,2.967,0,6,Six
493,1.584,1.581,0,0,1.592,0,1.429,2.389,0.97,2.048,6,Six
509,0,1.107,1.867,0.84,0.318,2.062,1.143,2.548,1.552,0.819,6,Six
516,0.71,1.418,1.046,1.882,2.14,0,1.281,0,0.87,1.836,6,Six
521,0.515,1.542,0.303,1.365,1.293,0.335,1.393,0.518,1.261,5.325,6,Six
531,1.132,0.771,1.062,0.682,0.517,3.015,0.464,1.035,1.261,1.331,6,Six
534,0.231,1.633,0.907,1.02,1.16,0.501,1.042,0.774,1.414,4.977,6,Six
535,0.193,1.013,1.652,1.281,2.04,0.503,1.047,0.389,0.474,1.5,6,Six
538,0.484,1.814,0,0,1.217,3.941,0,3.654,1.484,1.566,6,Six
541,1.042,1.109,0.428,1.133,1.975,0.89,0.771,1.46,1.256,0.773,6,Six
543,0.445,1.667,0.164,0,2.517,0.362,2.009,1.119,3.409,5.037,6,Six
547,0.794,1.486,0.439,0.658,1.994,0.323,1.791,1.996,1.216,3.849,6,Six
549,1.048,1.308,0.956,0.331,1.003,1.462,0.901,1.506,1.223,0.968,6,Six
551,0.226,1.549,0.665,0.748,2.834,0.367,1.018,1.134,1.382,1.459,6,Six
557,0.701,0.875,1.291,0,1.321,1.14,1.581,0.881,2.147,1.133,6,Six
566,0.363,1.36,1.606,1.606,1.521,0.394,1.093,0,0,3.132,6,Six
